id;date;titre;url;source_nom;theme
75;28/07/2025;The Bitter Lesson versus The Garbage Can;https://www.oneusefulthing.org/p/the-bitter-lesson-versus-the-garbage;One Useful Thing;Data
74;07/08/2025;GPT-5: It Just Does Stuff;https://www.oneusefulthing.org/p/gpt-5-it-just-does-stuff;One Useful Thing;IA
73;19/10/2025;An Opinionated Guide to Using AI Right Now;https://www.oneusefulthing.org/p/an-opinionated-guide-to-using-ai;One Useful Thing;IA
72;28/08/2025;Mass Intelligence;https://www.oneusefulthing.org/p/mass-intelligence;One Useful Thing;IA
71;11/09/2025;On Working with Wizards;https://www.oneusefulthing.org/p/on-working-with-wizards;One Useful Thing;Autre
70;29/09/2025;Real AI Agents and Real Work;https://www.oneusefulthing.org/p/real-ai-agents-and-real-work;One Useful Thing;IA
69;18/11/2025;Three Years from GPT-3 to Gemini 3;https://www.oneusefulthing.org/p/three-years-from-gpt-3-to-gemini;One Useful Thing;IA
68;12/11/2025;Giving your AI a Job Interview;https://www.oneusefulthing.org/p/giving-your-ai-a-job-interview;One Useful Thing;IA
67;20/12/2025;The Shape of AI: Jaggedness, Bottlenecks and Salients;https://www.oneusefulthing.org/p/the-shape-of-ai-jaggedness-bottlenecks;One Useful Thing;IA
66;07/01/2026;Claude Code and What Comes Next;https://www.oneusefulthing.org/p/claude-code-and-what-comes-next;One Useful Thing;IA
65;19/04/2025;The State of Reinforcement Learning for LLM Reasoning;https://magazine.sebastianraschka.com/p/the-state-of-llm-reasoning-model-training;Ahead of AI;IA
64;27/01/2026;Management as AI superpower;https://www.oneusefulthing.org/p/management-as-ai-superpower;One Useful Thing;IA
63;18/02/2026;A Guide to Which AI to Use in the Agentic Era;https://www.oneusefulthing.org/p/a-guide-to-which-ai-to-use-in-the;One Useful Thing;IA
62;12/03/2026;The Shape of the Thing;https://www.oneusefulthing.org/p/the-shape-of-the-thing;One Useful Thing;Autre
61;15/01/2025;Noteworthy AI Research Papers of 2024 Part Two;https://magazine.sebastianraschka.com/p/ai-research-papers-2024-part-2;Ahead of AI;IA
